"id","ASN","price","status","stitle","cate","image","Product Dimensions","Batteries required","Item model number","Date First Available","extraImages","Item Weight","Is assembly required","Included components","Customer Reviews","Best Sellers Rank","Package Dimensions","Primary material","Frame finish","Footboard upholstery","Shipping Weight","Manufacturer","Assembly Required","Batteries Required?","Manufacturer recommended age","Educational Objective(s)","Mfg Recommended age","Fabric Type","Care instructions","Number of pieces","Brand","Model Number","Color","Product Dimensions:","Date First Available:","Manufacturer:","ASIN:","Item model number:","","Item volume","International Warranty: If purchased from outside the UAE, manufacturer warranty may not apply. Click Here [PDF 195 KB]","Best Sellers Rank:","Camera Cases","Batteries","Manufacturer reference","Manufacturer Part Number","Mobile Phone Screen Protectors","USB Cables","Other display features","Form factor","Whats in the box","Package Dimensions:","Language:","Batteries Included?","Remote Control Included?","Is Discontinued By Manufacturer:","Department:","Action Cameras & Accessories","Customer reviews:","Size","Style","Season","Sport","Department","Is Discontinued By Manufacturer","Number of Puzzle Pieces","Hand Tools","Height","Length","Weight","Width","Number of Items","Standing screen display size","Are Batteries Included","Number of Game Players","Material Care Instructions","Material","Screwdrivers","Model number","Target gender","Our Recommended age","Number of Pieces","Material Type(s)","Long Drill Bits","In-Ear Headphones","Model","Computer Accessories","Manufacturer's Suggested Maximum Weight","material_composition","Knee Braces","Boring Drill Bits","Item diameter","Material Type","Included Components","Frame Material","Shape","Lens Material","Outer Material","Material Composition","Mobile Phone Basic Cases","Capacity","Item Shape","Series","Voltage","Camera & Camcorder Rain Covers","Lightning Cables","Automotive Diagnostic, Test & Measuring Tools","Measuring & Layout","Camera Lens Filter Sets","Warranty description","Open-End Wrenches","Drill Bits","Release date","Drive Sockets","Camera & Photo Accessories","Units","Dishwasher safe","Is portable","Wrench Sets","Pipe Wrenches","Shop Knives","Batteries:","Mobile Phone Accessories","Format","Electrical Power Accessories","Electrical Equipment","Chisels","Item Model Number","Pliers & Pincers","Nintendo Switch Games","Jobber Drill Bits","Wearable Technology","Power Tool Accessories","Dishwasher safe?","Hole Saws","Hammers","Auto Shutoff","Special Features","desc","Camcorder Cases","Brad-Point Drill Bits","number_of_channels","Mobile Phone Mounts & Stands","Telephone & VoIP Accessories","Cycling Accessories","Hardware","Safety & Security","Industrial Drill Bits","Combination Wrenches","HDMI Cables","Desk Accessories & Storage Products","Electronics Accessories & Supplies","Flashlight Lanterns","Display Type","Photographic Lighting & Studio Equipment","PlayStation 4 Games","Twist Drill Bits","Manufacturer reference:","Other camera features","Resistance temperature","Screwdriver Sets","Spanners & Wrenches","Display maximum weight recommendation","Jig Saw Blades","Fill material","Scent","Import designation","Wood Chisels","Mobile Phone OTG Adapters","Complete Tripod Units","Bookshelf Photo Albums","Special features","Additional product features","Tape Measures","Features","Strippers & Crimpers","Electrical Tools & Testers","Maximum weight recommendation","Quantity","League","Team","Material free","Bottle type","Lithium Battery Packaging","Camera Case & Bag Accessories","Tool Organizers","Tool Sets","Surveillance & Security Cameras","Home Security & Surveillance Systems","Folding","tech_spec_battery_description_toys","Camera Lens Sky & UV Filters","Film Cameras","Projector Accessories","Monopods","Wattage","Adjustable Wrenches","Exterior","OEM Part Number","Cover Included","Binoculars","Radio Control Suitability","Skill Level","Power Tool Staples","Cultivators & Tillers","Home Storage & Organization","Language::","Camera Lens Polarizing Filters"
"1","B014HJ81O6","","1","Pushy Vinyl Decorative Wall Sticker - Black","Tools & Home Improvement|Painting Supplies, Tools & Wall Treatments|Wall Stickers & Murals","https://images-na.ssl-images-amazon.com/images/I/71zRlJWyPPL._AC_SL1500_.jpg","90 x 36 x 1 cm; 20 Grams","No","S-187","9 April 2019","https://images-na.ssl-images-amazon.com/images/I/71tGd0gfLtL._AC_SL1500_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","B07QBPYB45","","1","Bosphorus Hangable Balcony And Garden Ornament, Welcome Owl","Home|Home Décor|Signs & Plaques","https://images-na.ssl-images-amazon.com/images/I/81GfzfKsuZL._AC_SL1500_.jpg","17.4 x 17.8 x 1.6 cm; 460 Grams","No","956238C","25 August 2019","https://images-na.ssl-images-amazon.com/images/I/81U%2BfTpEPcL._AC_SL1500_.jpg","0.46 Kilograms","No","No Included Components","/** Fix for UDP-1061. Average customer reviews has a small extra line on hover* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40*/.noUnderline a:hover {text-decoration: none;}5.0 out of 5 stars1 ratingP.when('A', 'ready').execute(function(A) {A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){if(window.ue) {ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);}});});P.when('A', 'cf').execute(function(A) {A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){if(window.ue) {ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);}});});5.0 out of 5 stars","#42,231 in Home (See Top 100 in Home)#219 in Signs & Plaques",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","B07NDY7FL9","","1","Alpha Wall Decorative MDF Painting - Mixed Media","Home|Artwork","https://images-na.ssl-images-amazon.com/images/I/619X0dukatL._AC_SL1500_.jpg",,,,"6 February 2019","",,,,,,"27.94 x 23.11 x 1.52 cm; 230 Grams","Manufactuerd Wood","Framed","Manufactuerd Wood","0.23 Kilograms","Alpha Wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","B00T77E1HK","","1","Fp Thms & Frnds - Little Friends Asst.","Toys|Play Figures & Vehicles","https://images-na.ssl-images-amazon.com/images/I/91QwwTU6cCL._AC_SL1500_.jpg","4.2 x 18.8 x 8.2 cm; 1.54 Kilograms",,"887961125726","9 March 2019","",,,,,"#47,753 in Toys (See Top 100 in Toys)#8,700 in Kids' Play Figures & Vehicles",,,,,,,"No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","B07P9VJY9G","","1","Zuru Construction, Building Sets & Blocks 3 Years & Above,Multi color","Toys|Baby & Toddler Toys|Early Development & Activity Toys","https://images-na.ssl-images-amazon.com/images/I/811Eo5fBTbL._AC_SL1500_.jpg","2.4 x 13 x 12.6 cm; 100 Grams",,"2724619848676","25 February 2019","https://images-na.ssl-images-amazon.com/images/I/31BTYmrNGSL._AC_.jpg",,,,,"#54,674 in Toys (See Top 100 in Toys)#1,131 in Early Development & Activity Toys#2,965 in Building & Construction Toys",,,,,,,,,"3 months and up","Team Building Skills","3 months and up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","B07PLZ7SXQ","","1","Cosy Kitchen Decorative Coaster Set Of 4 For Coffe Mugs Or Cold Drinks 9 x 9 cm Each","Home|Home Textiles|Kitchen Linen","https://images-na.ssl-images-amazon.com/images/I/61iwSY-ddkL._AC_SL1200_.jpg","9 x 9 x 0.3 cm; 720 Grams","No","750CSY0008","12 March 2019","","720 Grams",,,,,,,,,,,,,,,,"100% MDF","Easy To Wash With Water","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","B07R3DBQB5","","1","Melamine Katori White 9.5Cm","Kitchen|Tableware|Dishware & Serving Pieces|Dinnerware|Bowls|Soup Bowls","https://images-na.ssl-images-amazon.com/images/I/41USl5nRwBL._AC_SL1000_.jpg",,"No","6291023662380","24 April 2019","https://images-na.ssl-images-amazon.com/images/I/41d1wjWTJNL._AC_SL1000_.jpg,https://images-na.ssl-images-amazon.com/images/I/41AhS9Xt32L._AC_SL1000_.jpg,https://images-na.ssl-images-amazon.com/images/I/41LEkbZFt8L._AC_SL1000_.jpg",,"No","Bowl",,,"9.2 x 9.2 x 4.4 cm; 20 Grams",,,,,,,,,,,,"Dishwasher Safe","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","B0009RD3KI","","1","Disney Procos Winnie The Pooh Diecut Invitation And Envelopes - 6 Pieces Multi","Toys|Dressing Up & Costumes","https://images-na.ssl-images-amazon.com/images/I/51cbviIluZL._AC_.jpg","1.8 x 20.6 x 18.2 cm; 50 Grams",,,"28 January 2019","https://images-na.ssl-images-amazon.com/images/I/51oj4tzLBFL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/51oj4tzLBFL._AC_.jpg","50 g",,,,,,,,,,,,,,,,,,,"Disney","8123","Multi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","B07PFQ117L","","1","SERVEWELL MELAMINE HORECA PERSIAN SER. BOW L-5.75"" BLACK 14.5 Cm 6291023641255","Kitchen|Tableware|Dishware & Serving Pieces|Dinnerware|Bowls|Soup Bowls","https://images-na.ssl-images-amazon.com/images/I/71CfkkbXSTL._AC_SL1500_.jpg","5.6 x 14.3 x 14 cm; 236 Grams",,"2724623300382","7 March 2019","https://images-na.ssl-images-amazon.com/images/I/71iqq9LmMvL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71pL6rcZfnL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81ch3UFSs9L._AC_SL1500_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","B00TSZV264","2.00","1","Bahco Hexagon Offset Screwdriver Nickel Version, 1998M-2.5","Tools & Home Improvement|Power & Hand Tools|Hand Tools|Spanners & Wrenches|Hex Keys","https://images-na.ssl-images-amazon.com/images/I/51x4owfGHKL._AC_SL1000_.jpg",,,,,"",,,,,,,,,,,,,,,,,,,,,,,"5.5 x 2 x 0.3 cm; 5 Grams","28 July 2019","Bahco","B00TSZV264","1998M25","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
