"FNSKU","occurrence"
"1616617721",1
"1910561738",1
"B014HJ81O6",1
"B07QBPYB45",1
"B07NDY7FL9",1
"B00T77E1HK",1
"B07P9VJY9G",2
"B07PLZ7SXQ",1
"B07R3DBQB5",1
"B0009RD3KI",1
"B07PFQ117L",1
"B00TSZV264",2
"B07P9TBYPJ",1
"B07P83DT8F",2
"B0772J23SQ",2
"B07QMRXM8T",2
"B073ZWZSZP",2
"B00FJI1UXY",2
"B0797D5PRQ",3
"B014HJ9CXA",1
"B07QMN49TN",1
"B07P6H3J2G",1
"B000H5V6YC",3
"B07P6H2WBT",1
"B01MQOC277",1
"B07P6H6XDD",1
"B07C56Q7R1",2
"B07P5JKJQ1",1
"B07MCQ5GT9",2
"B07PK4PBFH",2
"B07P7LV7SY",1
"B07P75VCZ5",2
"B07BZ63N2L",2
"B07H8Y1KWK",2
"B07P6TWLGS",1
"B07M82BF7M",1
"B07MJYZY67",2
"B07PM212XS",2
"B014HJ5I42",2
"B00KTW1UQW",1
"B07P9G96TG",2
"B07P6GS7FF",1
"B00VJBC3B8",3
"B076B49ZNH",2
"B07P8R15P7",2
"B0097QC3VC",2
"B00YHATQ6S",3
"B07P9G95FP",1
"B07P5J9ZCV",2
"B07MW788TX",2
"B07P7LGFYM",2
"B07FP1Z5GS",2
"B07PLTYMFM",2
"B00J05MAJA",1
"B0001IWCVG",2
"B07P7M7Y77",1
"B07PM3CQH5",1
"B07MWHRSWN",2
"B07P9V9R5B",2
"B07P8B462L",2
"B07FTGK3QV",2
"B07P5J9Z4P",1
"B00M37J306",2
"B072139543",1
"B07P8B5K9T",1
"B00HD698PC",2
"B013IVRLBI",1
"B017NTXKWU",1
"B07SQGJPDM",2
"B07P6H887M",2
"B0772GRKK6",1
"B0772GRKKB",1
"B018KFHZJ0",2
"B07FRBK4RS",3
"B07PBCWNSZ",1
"B0772GRPXG",2
"B010BJ345C",1
"B00CWF1QRW",2
"B07FPF38ZH",3
"B07PFPQ57B",1
"B071G5H2MM",2
"B07PL5HCW9",1
"B07PCLMHCS",2
"B07P6H1K34",2
"B07NDX2M8G",1
"B07QYTQKHV",1
"B07PFPRTX8",1
"B00IZCUW4Y",3
"B07PXM1991",1
"B07P7MBMYH",3
"B0772HKYSJ",2
"B00VT7ZANU",1
"B0772KJ9WQ",2
"B00IMI1TWK",1
"B07P9W57GH",1
"B07PFQ13Y8",1
"B0088A0EUA",1
"B01G5LSIR4",2
"B07NFCKB5C",2
"B0772HLTF5",1
"B00I1BDQ9W",1
"B014KEDBOS",2
"B07PCMTSF5",2
"B07QZRR49S",1
"B07HDP7ZV7",2
"B07PHZFDXZ",1
"B07PM3MX5R",2
"B07FQLWHCN",2
"B07S3WYRHG",2
"B01N4FMQSJ",1
"B000XKW47E",2
"B0772K3YZ2",1
"B07P97HYMD",2
"B07SQGK9M6",1
"B07P5JH2MB",2
"B07P7LNZJV",3
"B07NY2SHTH",1
"B07P7M19M5",1
"B071CM5Q28",2
"B07P5JHSK9",1
"B07NDZR6YS",1
"B07PLZKKBK",1
"B0772QQBXT",2
"B07MGBY6GL",1
"B07P9VDQ8W",1
"B017NS6K1Y",1
"B07MJXXY6P",1
"B06XC9DSP1",2
"B079HC654L",2
"B07P5HZQWV",2
"B005NRSRU0",1
"B00I5LMG76",1
"B07P8B468Z",1
"B000KHTB9E",2
"B01ENRASKC",1
"B07PLYXCMT",2
"B07PM1TMSY",2
"B014HJ3IR6",2
"B0772MTLMP",1
"B07NF6CRHW",1
"B07P9WC3GT",1
"B01LYCNSXT",1
"B07QPZMGGJ",2
"B07FL7NMPP",2
"B07PM2BNKN",2
"B07DCFGZJX",1
"B07NYZQJNZ",1
"B07727SH3N",2
"B00HRRB2UQ",2
"B07PFQ13YV",1
"B07P7LS96F",1
"B07P83L4RR",1
"B00S2XTIV4",1
"B00TDDCA12",1
"B00AABQG5M",1
"B07P9G8WMF",2
"B003WUWX7I",1
"B0797NJY5Y",2
"B07P6YKJ58",2
"B0772HH8H4",1
"B0797Q9ZGL",2
"B00UVZKQ30",1
"B07P83NVL2",1
"B07FR5BPYM",2
"B07PLZY5WP",1
"B017KJA0Q2",1
"B00YE6KE0C",1
"B07DXDJ5DF",1
"B017NS87WE",2
"B07T3WR8FS",2
"B01N9W2NZT",1
"B0797J6CCL",2
"B014HJ8204",1
"B077QN44ZS",1
"B07PCM83KJ",1
"B07PBKWL66",1
"B07NQMK7GX",2
"B07P9VNWXM",1
"B07P75TVVM",2
"B07R162B3C",2
"B07P7LV5BL",1
"B071XMDK9Z",2
"B07QC7DYZS",1
"B079W1JWWR",1
"B07DXWKW63",2
"B005IP956C",2
"B07P75QSNV",2
"B07P8B495Q",1
"B0772HLQ1F",1
"B07SXV22P2",1
"B07P6H6G32",1
"B07NVS4BQM",1
"B07NY2RJCH",1
"B07P9W86RD",1
"B0041SN8II",2
"B07DCCWY9P",1
"B01CN9420O",1
"B07P9VD4SY",1
"B0772FB3LJ",2
"B075F5ZLJD",1
"B07P7M3G22",1
"B07L1C4B57",3
"B07P9WK9R1",1
"B005ZECLV2",1
"B07PBY4V65",1
"B0016WRM1G",2
"B00GJAR5I0",3
"B07NF53DLT",1
"B078WYX98W",2
"B07P8R4F1S",2
"B07P7M2RV4",2
"B07P67R32D",2
"B00BN2JD34",1
"B07NDZKGLV",1
"B07P689VJD",1
"B07P8M1XSP",1
"B07PM383DQ",1
"B078JPPTMB",2
"B07CJK3RM1",2
"B07P7M2HFB",2
"B07727ND9B",2
"B07P68DCV2",1
"B00TT00T2G",2
"B0772QBX2B",1
"B00SFHOP1K",2
"B000K2X5KU",2
"B07QYLDFVT",1
"B07MJY2LYX",1
"B06XDJ9R87",2
"B07NF1BH35",2
"B07BZBCWZ5",2
"B07MXBB8MN",1
"B07P67QF9Q",1
"B07P9TXY7V",2
"B07P9V6MG8",2
"B07PDS64QH",1
"B07K9THLHV",1
"B079CCHKKX",1
"B0794YKW7K",2
"B07P7LSHVG",1
"B00JE9Y3EC",1
"B07D5185W8",3
"B07NF1HGXX",1
"B00HHM5O4Q",2
"B07P9WJDKS",2
"B001B2ANF8",2
"B07P8B2QB8",2
"B07P9W5T8M",2
"B07P7M3MC6",1
"B07QDB9QBM",2
"B07P9G8N2P",1
"B0772Q5L8T",1
"B07P9V6P4Z",2
"B00II6GLM4",2
"B07P67R3VZ",1
"B014HJ6IGO",2
"B07P5JQ8C6",2
"B00D0UWOB0",2
"B00I2TSJPY",2
"B07P9W46Z3",2
"B01LNP2OZO",2
"B017LR10HQ",1
"B014HJ64W2",2
"B07NDZLBDC",1
"B00181D7MI",1
"B07ZDMD9V7",2
"B00BTIKTK8",2
"B07P9VYKNX",2
"B07MCPZS35",1
"B07W8RQ4H5",2
"B00TT01L3W",2
"B07P9FK6QB",1
"B0075K6FCK",2
"B01DP5W44G",1
"B07P8R694F",1
"B07JGBR3GR",2
"B07DPL3357",1
"B07P6G7KTZ",2
"B07P75TVL8",2
"B07P75TS7Q",1
"B00TSZXEHY",2
"B07QZSNKP4",1
"B01B2XE42I",1
"B012D2VPUQ",1
"B07N6QQDSV",1
"B077QJ4LRL",1
"B07PFQ14L7",1
"B07MCR5H42",2
"B00BN9F5B6",1
"B07P97KGH1",1
"B07PFYFB4M",2
"B07PCM12Z1",2
"B014J4RRJY",2
"B00BTIKOVM",2
"B07QJQT25J",2
"B01AIEUP6G",2
"B07DWYSNR5",3
"B07PBL15TR",1
"B0797GJZQJ",2
"B0031B8W9G",1
"B07PH3TJRS",2
"B07PFPRTSV",1
"B07PGTWYF6",2
"B07P8Q6W48",1
"B014HJ1HR4",1
"B07P9FNH2S",2
"B00IMI1UP6",1
"B00TT01RB8",2
"B00TDDAVGS",1
"B07LBDJV1C",2
"B07P68GGW3",1
"B07CHNL2DX",2
"B07P9FK82V",2
"B015P3197E",3
"B013HOWF1W",1
"B07P9V9VYL",1
"B07PKR9VPM",1
"B07QJQJR4T",2
"B07P9V4DW5",1
"B07P7M8L98",1
"B014HJ6I6E",1
"B07NQJH3LT",1
"B07PBKWLD2",1
"B017NSB6G8",1
"B01NCN392X",1
"B017NSB94C",1
"B07QGW6TRK",2
"B07P8QZJM9",2
"B01M19LVQ8",3
"B07P6GLST3",1
"B07CM8VNZS",2
"B07P7GPVVD",2
"B07MZ83VL5",1
"B077QKBLJR",2
"B079HB1SQN",2
"B07MXDRH86",2
"B003QR1SSC",2
"B07P9W1VF4",1
"B07NYYRZ3T",1
"B0772MRMNS",1
"B07PCD4LKQ",1
"B075DWKK38",2
"B01FWIGZ80",1
"B017NS49U8",1
"B07MCQXRWF",2
"B00GPKGVZM",2
"B0734JZQNQ",2
"B07X3GSV5G",3
"B07P131DT9",1
"B016EVW6AA",2
"B01ALL7S8O",3
"B017NS5R36",1
"B07CKG25LB",2
"B00CFEL2W4",2
"B07MQNC97V",1
"B07MQLM22L",2
"B07B2VN3TN",1
"B07PBKZZ9K",1
"B07Q1KV4YV",2
"B07PHZ8RV8",1
"B07BJF9FXZ",1
"B07P75T6ZL",2
"B01DJAPY1M",2
"B07MZ8BLZ6",1
"B07PHYZ6C5",1
"B07RWJXJTN",2
"B07CLR9RB3",1
"B07K92DN44",3
"B0772HLPZN",1
"B01GE5E9SS",2
"B07NQN678V",2
"B07P97GTV3",2
"B07PK4NQQW",2
"B07PM2XQHL",2
"B0037HE2IY",1
"B07P9VD445",1
"B07P9V9VTY",1
"B0772QCLVF",1
"B077QTNHBZ",1
"B017NS57ZO",2
"B071HBHRY8",1
"B071QXCJK1",1
"B07P8B4ZWF",2
"B07PGTXMVB",1
"B0772KJ9QR",1
"B008M35IHW",2
"B07PM1P7WD",1
"B07P5JWHQS",1
"B077QTNC42",2
"B06X1FYVZ3",1
"B005LPE9JM",1
"B07P6GX36M",1
"B07P9FHQMT",2
"B07P75T8F5",2
"B07P9V9VSY",1
"B01J1TCA80",1
"B014HJ5ZOU",1
"B07P67PMXS",2
"B07TF9RJK6",2
"B07FP22BVC",2
"B07P97K97W",1
"B0131K2NKA",1
"B07PDZR9CT",1
"B07M8266C6",1
"B07MQK6PPB",1
"B07NDXMRBQ",1
"B07P83S2J5",1
"B017NS7C0W",1
"B07S146R5L",2
"B00MWMN4NO",1
"B07P76GQ2M",1
